City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Carnarvon,AU,71.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
1,Meulaboh,ID,76.06,overcast clouds,4.1363,96.1285,Kost Pria
2,Port Alfred,ZA,64.31,broken clouds,-33.5906,26.891,The Halyards Hotel
4,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,Pousada Porto Praia
5,Kruisfontein,ZA,62.89,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
7,Avarua,CK,69.85,overcast clouds,-21.2078,-159.775,Paradise Inn
8,Kapaa,US,75.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Rikitea,PF,75.83,clear sky,-23.1203,-134.9692,People ThankYou
13,Mount Isa,AU,80.37,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
14,Salvador,SV,77.4,scattered clouds,13.8333,-88.9167,Chico's Ranch
16,Kirakira,SB,79.75,moderate rain,-10.4544,161.9205,SanBiz Lodge
18,Pizarro,CO,74.03,heavy intensity rain,4.9533,-77.366,Hotel Limonar
19,Biloela,AU,67.5,overcast clouds,-24.4167,150.5,Biloela Silo Motor Inn
20,Pandan,PH,79.12,few clouds,14.0453,124.1694,Bonifacio Lodge
22,Atuona,PF,76.93,light rain,-9.8,-139.0333,Villa Enata
25,Ponta Do Sol,PT,73.71,overcast clouds,32.6667,-17.1,Hotel do Campo
26,Cape Town,ZA,73.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
32,Vaini,TO,69.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
35,Hermanus,ZA,73.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
36,Vila Franca Do Campo,PT,71.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
39,Sorong,ID,79.84,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
41,Lagoa,PT,65.91,few clouds,39.05,-27.9833,Casa Das Faias
44,Picton,AU,64.53,overcast clouds,-34.1833,150.6,Picton Valley Motel
45,Corinto,GR,65.68,overcast clouds,37.9407,22.9573,Ephira Hotel
