City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Carnarvon,AU,-24.8667,113.6333,71.67,73,0,14.97,clear sky,2021-11-23 15:32:58
1,Meulaboh,ID,4.1363,96.1285,76.06,88,100,8.01,overcast clouds,2021-11-23 15:32:59
2,Port Alfred,ZA,-33.5906,26.891,64.31,63,51,20.83,broken clouds,2021-11-23 15:32:59
3,Mataura,NZ,-46.1927,168.8643,46.54,92,86,2.57,overcast clouds,2021-11-23 15:32:59
4,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,69,0,12.66,clear sky,2021-11-23 15:33:00
5,Kruisfontein,ZA,-34.0033,24.7314,62.89,64,81,12.17,broken clouds,2021-11-23 15:33:00
6,Provideniya,RU,64.3833,-173.3,9.68,65,5,9.69,clear sky,2021-11-23 15:33:00
7,Avarua,CK,-21.2078,-159.775,69.85,78,100,1.14,overcast clouds,2021-11-23 15:33:01
8,Kapaa,US,22.0752,-159.319,75.52,83,20,9.22,few clouds,2021-11-23 15:33:01
9,Ilulissat,GL,69.2167,-51.1,10.42,56,20,26.46,few clouds,2021-11-23 15:33:02
10,Mokhsogollokh,RU,61.4681,128.9203,-10.77,88,100,1.5,overcast clouds,2021-11-23 15:33:02
11,Rikitea,PF,-23.1203,-134.9692,75.83,80,2,14.03,clear sky,2021-11-23 15:33:02
12,Cherskiy,RU,68.75,161.3,-34.33,100,43,4.68,scattered clouds,2021-11-23 15:33:03
13,Mount Isa,AU,-20.7333,139.5,80.37,32,40,0.0,light rain,2021-11-23 15:33:03
14,Salvador,SV,13.8333,-88.9167,77.4,60,49,3.87,scattered clouds,2021-11-23 15:32:39
15,Takaka,NZ,-40.85,172.8,59.38,91,63,2.15,broken clouds,2021-11-23 15:33:03
16,Kirakira,SB,-10.4544,161.9205,79.75,82,100,7.92,moderate rain,2021-11-23 15:33:04
17,Jamestown,US,42.097,-79.2353,33.71,83,90,8.01,light snow,2021-11-23 15:31:16
18,Pizarro,CO,4.9533,-77.366,74.03,95,100,9.82,heavy intensity rain,2021-11-23 15:33:04
19,Biloela,AU,-24.4167,150.5,67.5,89,100,4.92,overcast clouds,2021-11-23 15:33:05
20,Pandan,PH,14.0453,124.1694,79.12,83,11,8.55,few clouds,2021-11-23 15:33:05
21,Deputatskiy,RU,69.3,139.9,-28.88,99,33,3.4,scattered clouds,2021-11-23 15:33:05
22,Atuona,PF,-9.8,-139.0333,76.93,81,81,13.06,light rain,2021-11-23 15:33:06
23,Upernavik,GL,72.7868,-56.1549,0.18,73,17,6.55,few clouds,2021-11-23 15:33:06
24,Busselton,AU,-33.65,115.3333,57.09,79,0,10.69,clear sky,2021-11-23 15:33:07
